Timestamp,1. What improvements could we implement to make your Pacific Symphony Subscriber experience better?,2. What did you enjoy most about being a Pacific Symphony subscriber?
2019/06/10 8:13:27 PM MDT,Parking in the large structure last year was disorganized.  Advertised  beverages in the bar are not always available.,My friends and I were able to arrange very smoothly for new tickets following the death of one of our group.  The people representing the Pacific Symphony are always courteous.
2019/06/10 8:16:34 PM MDT,None. Like it the way it is.,"Hearing the symphony, its soloists and its wonderful conductor."
2019/06/10 8:16:46 PM MDT,"Start the concert earlier in the evening. For me, when it goes past 10:00 pm, it's too late for me. I often have to leave at intermission. I would love if it would start at 7:00 or 7:30 instead of 8:00 pm. While I enjoy hearing Carl's summaries, sometimes his comments go on for too long.",Great programs!!! Nice blend of classic works and new works.
2019/06/10 8:24:12 PM MDT,Cannot think of anything.,It gave me the impetus to get out of the house and enjoy great music played by a world-class orchestra.
2019/06/10 8:28:29 PM MDT,More music,The music
2019/06/10 8:38:26 PM MDT,"show the full orchestra, on the video behind the full,orchestra",
2019/06/10 8:42:22 PM MDT,continue to project images of the players on the huge screen above the stage and continue to feature a wide variety of composers and soloists,the high level of musicianship and selection of pieces performed
2019/06/10 9:02:44 PM MDT,"Would be nice if you provided another Behind-scenes-tour like you did a few years ago. Also, is it possible to have some open sessions offered to watch some of the orchestra rehearsals?","The pre-symphony talks from Alan Chapman. Love his traffic reports. Also, the selections and variety of music is great. Helps to understand and appreciate different types of music."
2019/06/10 9:06:11 PM MDT,"I would have preferred to know whether the Friday night concert series will have mixed formats next season or not...If so, I would want the option to change to Thursday night traditional format. When I asked this, I was told that information is not yet available.",Always having beautiful music to look forward to!
2019/06/10 9:09:16 PM MDT,Pre-concert discussion,"Helpful staff, good choices & delivery of scores & guests."
2019/06/10 9:26:23 PM MDT,"cant really think of anything........maybe get more of the musical artists like Chris Botti, David Foster,Seth McFarland,Diana Krall types.....",I cant say any one thing was my most favorite as I do love the Symphony and when you pair them with artists....
2019/06/10 9:28:33 PM MDT,Discounts on multi-year subscriptions,"Fabulous music, same seats"
2019/06/10 9:36:42 PM MDT,"Fewer  and less frequent repeats of the standard repertoire that seem to show up every other season, (e.g. Berlioz Samphonie Fantastique, Dvorzak Symphony #9, Pictures at an Exhibition).  Also, steer clear of anything atonal.  ",The caliber of guest artists and first chair soloists is exceptional.
2019/06/10 9:40:48 PM MDT,better options for intermission drinks and snacks so not wait in line to order beforehand or during intermission,the variety of shows
2019/06/10 9:40:59 PM MDT,The folder I got with my tickets lists a phone number for Saturdayâ€™s for a box office but every time I have called it no one answers. I have called the other office during the week. ,Planning ahead and having tickets and reasonable priced.  
2019/06/10 9:45:59 PM MDT,Maybe have a â€œbefore concertâ€ talk once or twice during the Pops Series. Richard Kaufman has so much to offer sharing his experiences in music. ,Everything!  The musicians are first class. Richard Kaufman is the best anywhere! The musical choices have been terrific. It is an important and enjoyable part or our life. 
2019/06/10 9:46:10 PM MDT,"I honestly can't think of a thing that you can do, I would like less traffic on the I 5 and I 405 for our trip from Oceanside but I don't think you cam help.",The music.
2019/06/10 9:46:58 PM MDT,,
2019/06/10 9:47:25 PM MDT,Maybe have a â€œbefore concertâ€ talk once or twice during the Pops Series. Richard Kaufman has so much to offer sharing his experiences in music. ,Everything!  The musicians are first class. Richard Kaufman is the best anywhere! The musical choices have been terrific. It is an important and enjoyable part or our life. 
2019/06/10 9:51:56 PM MDT,My experience has been fine.  Everyone I've talked to makes it very easy to select concerts - patient and informative.,Getting together with friends to enjoy a special evening and get to enjoy the symphony and guest artists.
2019/06/10 9:55:37 PM MDT,"This may not be the venue to discuss this but the last performance, Music Man,  was very disappointing in that we could not understand the words of the songs.
I'm very familiar with Music Man but one of our friends was not and had no idea what is was all about.  Maybe a sound problem?",
2019/06/10 9:56:12 PM MDT,"Nothing, Iâ€™ve enjoyed being a season sunscriber.","Love my seats, flexibility to exchange tickets when needed to, the musing."
2019/06/10 10:07:09 PM MDT,"For vision and hearing impaired , having the screen available is the most wonderful Improvement.  It makes all the difference in the world to my partner
who has severe hearing loss as well as macular degeneration. His enthusiasm 
brightens my caregiving day.","All the people around us have had the same seats for years.  We are like a
family and can review the previous number with great satisfaction.  (We also
talk about our cruise that either we are going on or just got back!). Don't think
that counts!"
2019/06/10 10:08:55 PM MDT,Our experience is satisfactory so far.,The concerts are an experience that enhances our lives.
2019/06/10 10:11:50 PM MDT,I enjoy the multimedia experiences.  Having the video close-ups of the musicians with their names and instruments as captions would be educational and informative during the performances.  More visual enhancements would be great.,"I like feeling part of the symphony â€œfamilyâ€.   The staff (i.e., volunteers and bartenders) are friendly and very welcoming.  I also appreciate Carlâ€™s explanations at the beginning of the concerts."
2019/06/10 10:17:29 PM MDT,"No problems, well done.","Looking forward to the whole season with the variety of programs, all outstanding, even if all aren't necessarily favorites!"
2019/06/10 10:17:30 PM MDT,I think Alison Krauss should be brought in for a Pops concert.,just being there and reveling in the great music
2019/06/10 10:18:31 PM MDT,,Enjoyment of music
2019/06/10 10:18:53 PM MDT,Nothing ,
2019/06/10 10:19:59 PM MDT,more info as to surrounding sites,the incredible performances
2019/06/10 10:24:08 PM MDT,provide cough drops ,the variety
2019/06/10 10:26:06 PM MDT,Name performers for each event.,Name stars
2019/06/10 10:43:48 PM MDT,Enjoy being a Pacific Symphony Subscriber & always look forward to the concerts.  Appreciate all the work that goes into making Pacific Symphony concerts a success for we patrons!,Pacific Symphony does everything with class & informs patrons with open communications.  THANKS FOR MANY YEARS OF ENJOYING THE CONCERTS!
2019/06/10 10:53:55 PM MDT,"more comfortable chairs, closer to the floor and with more leg room",the music
2019/06/10 10:55:38 PM MDT,Donâ€™t play any world premier music.  It is always awful. ,"When you play classical, weâ€™ll known music. "
2019/06/10 10:58:23 PM MDT,None,The music
2019/06/10 11:13:58 PM MDT,We enjoy all the programs. I am not sure what you could do to improve the experienceâ€”free drinks perhaps??,"The staff in the ticket office are always so nice and friendly; more importantly, they go out of their way to accommodate our needs/changes. "
2019/06/10 11:24:47 PM MDT,nothing,the same seats
2019/06/11 12:02:24 AM MDT,Love it!!,"The beautiful concert music, especially the final Mahler concert!"
2019/06/11 12:15:37 AM MDT,I would love to hear more from the musicians.,All of the amazing performances.
2019/06/11 12:37:17 AM MDT,The last few years we have exchanged tickets and chosen a few concerts from each of your series; Classical Escapes and Romantic Nights.  It would be nice to be able to pick and choose a total of six concerts drawn from each of those series on the initial order.,"Fantastic concerts, beautiful evenings with new experiences, knowing we will always have our great seats!"
2019/06/11 12:41:15 AM MDT,"This season has been very entertaining.  There was a nice variety of offerings.  Of course, we enjoyed some more than others but that is to be expected.",Being a season subscriber ensured that we would get out to enjoy an evening together.  Its too easy to stay home.
2019/06/11 1:04:53 AM MDT,I am satisfied.,I like knowing that I help keep salaries reasonable for the orchestra 
2019/06/11 1:27:15 AM MDT,No improvement needed!  Loved first set of  Music Man with  the orchestra!,"Love  all the shows,especially when they have actors or singers during the first set with the wonderful orchestra!  Cheers!"
2019/06/11 6:12:35 AM MDT,I think you do a great job.,I love the music and it means that I get out of my routine to do something fun 12 times a year.
2019/06/11 7:27:52 AM MDT,The system works fine like a machine.,I enjoy being able to pick up my favorite concerts at a decent price.
2019/06/11 7:54:30 AM MDT,None,The Symphony
2019/06/11 8:16:18 AM MDT,More Beethoven and Mozat.,The variety of Music.
2019/06/11 8:43:48 AM MDT,,
2019/06/11 9:06:55 AM MDT,None,The certainty of having good seats.
2019/06/11 9:43:49 AM MDT,I canâ€™t think of anything. We are very happy with our Pops Series experience.,Wonderful variety of performances!
2019/06/11 9:48:41 AM MDT,"Nothing I can think of,",Ability to exchange concerts.
2019/06/11 10:12:01 AM MDT,More opportunities to meet the musicians   More engagement from the staff ,"VIP ticketing, early purchase of ticku"
2019/06/11 10:49:28 AM MDT,Give us more time to respond to get the best offers.,The help I got to find tickets that accommodate my schedule.
2019/06/11 11:02:09 AM MDT,I love pretty much everything you do. Very good balance of old and new and innovations.,Same seats. Being reminded of my coming concerts. Getting a slightly better price.
2019/06/11 11:21:30 AM MDT,"It's fabulous -- we're very happy with the performances, venue, selections, etc.",Beautiful music and wonderful programming.
2019/06/11 12:04:23 PM MDT,free parking pass at the Plaza Tower,Carl  St. Clair's creative programming!  
2019/06/11 12:24:15 PM MDT,Mone,Having the same seats 
2019/06/11 12:34:07 PM MDT,"It was all very enjoyable, thank you.",Had a good reason for going out and not sitting around doing the same old thing.
2019/06/11 12:35:10 PM MDT,"Everything was very enjoyable, thank you. No suggestions at this time. ",Had a good reson for going out and not sitting around doing the same old thing.
2019/06/11 12:49:46 PM MDT,We love our box circle parking passes. Please keep that as a benefit., Being able to   Bank of our tickets if we are on able to use them. Without that benefit we would not do the classic 12 because we never can make all 12 concerts. 
2019/06/11 12:57:00 PM MDT,I'd like to see more of Richard Kaufman. He has a great personality and I enjoy seeing him conduct.,"Popular and movie songs played by the symphony and guest performers like Vanessa Williams, Kenny G. and Leslie Odom"
2019/06/11 1:43:29 PM MDT,Seems very good now.,Getting the same good seats.
2019/06/11 2:02:12 PM MDT,,Glorious music
2019/06/11 2:45:35 PM MDT,More and better seats in lobby. We are senior citizens and sometimes have to wait in the lobby for our driver. ,"The quality of the programs and the quality of the orchestra is unbelievable, and the outstanding leadership of Carl St Clair. "
2019/06/11 3:07:25 PM MDT,We would like to know more about small group concerts the individual musicians may give. ,Being constantly surprised by the variety of wonderful music the Symphony commands. Our subscription has given us many wonderful hours of listening beyond the performances themselves. Most of the time we come away with at least one request for a new recording! 
2019/06/11 3:36:05 PM MDT,More chairs in the first floor lobby,The first half was great!!!  So was the second half!!!
2019/06/11 4:05:51 PM MDT,Lower season ticket prices.,Having performance dates to plan a year in advance.
2019/06/11 4:17:50 PM MDT,We can't think of one single thing!,The ability to hear and watch first-class musicians at work on a regular basis.
2019/06/11 4:19:03 PM MDT,"I think that the Pacific Symphony should  provide an alternate to the current packages, namely providing subscribers with the choice to select performances from different packages for a season subscription. Note that the McCallum Theater in Palm Desert has done this (in fact they did away with designated packages) and the result has been increased attendance.",The same seats for every performance.
2019/06/11 4:27:46 PM MDT,,
2019/06/11 4:34:14 PM MDT,Schedule some great artists like.....Chicago or The Eagles.  No movies.  More jazz and less rock & roll.,Listening to the orchestra during the 1st half.
2019/06/11 5:02:56 PM MDT,Doing great - no need for change.,Simple - we enjoy quality concert. 
2019/06/11 5:13:30 PM MDT, can't think of anything except to sit where I can see the keyboard when pianists perform ,The lecture prior to performance and the friendly atmosphere throughout the hall. Conductor St. Clare is fascinating to watch. I love your age distribution within the orchestra. Look foward to 2019-2020 season.
2019/06/11 6:10:21 PM MDT,"Free tickets? Seriously, the process currently is very workable.",Anticipation of another Pacific Symphony season.
2019/06/11 7:31:05 PM MDT,"Improve the quality of the snacks offered at intermission; perhaps more pastries, fruit & cheese plate, finger snacks, etc.  Also the coffee pre-ordered for intermission is lukewarm.  How about a thermo pitcher with cups available for pre-paid guests? Some sort of mic needs to be made available for the soloist to introduce the encore.  Unless one is seated in the front of the orchestra, all comments are lost to the rest of the audience.",The venue is wonderful.  Our seats are comfortable. The acoustics are great except when a guest soloist tries to introduce an encore without a mic.
2019/06/11 9:37:18 PM MDT,If our seats are changing it would be helpful to know where before the tickets are issued in case the change is not acceptable. This was a problem in the past.,Getting discounts to performances and knowing we have scheduled performances booked in advance.  It's too easy to forget about a concert and miss it if not pre-scheduled.
2019/06/11 10:16:17 PM MDT,,The ability to change tickets to another date without a charge.
2019/06/11 10:38:16 PM MDT,Better drinks service toocostly! Raising the parking rate was criminal,Good music 
2019/06/12 7:22:02 AM MDT,"Name(s) on fundraising letters need to be corrected. The salutation reads â€œDear Alice and Alice.â€  I purchase two tickets. I buy the tickets, but please send mailings to each of us. You may call me for further information. ",The concerts! 
2019/06/12 8:43:12 AM MDT,satisfied ,Variety of performance's
2019/06/12 9:58:39 AM MDT,"Really nothing. I love the venue, the orchestra, the informative program, and most of the pieces played in each program!",The consistent high quality of everything about the Pacific Symphony!
2019/06/12 10:53:11 AM MDT,Please separate the opera and orchestral concerts into two different subscription series.,"EVERYTHING !! Actually, the fine orchestral performances and friendly 
orchestra members and staff!! Also, concert hall's phenomenal acoustics.  "
2019/06/12 11:34:08 AM MDT,Please do not treat us like we are newcomers. We do know our seats.,Same seats every time 
2019/06/12 11:41:50 AM MDT,I can think of no improvements.  I think the Pacific Symphony already does a great job for it's subscribers.  ,"I really do enjoy the pre-show talks, and access to select rehearsals"
2019/06/12 12:22:33 PM MDT,I can't think of any.  It's good as it is.,"Being exposed to some new music occasionally, but hearing the classics mostly.  I also really enjoy it when Carl or a guest conductor tells the audience something about the music to help understand it better.  And my wife and I really enjoy Alan Chapman's pre-concert interviews and information about the music.  I think the entire experience is augmented and improved  by being both an educational experience as well as the beautiful enjoyment of the music itself. "
2019/06/12 12:28:15 PM MDT,"When renewing I also gave a donation.  Since, I've been asked to donate again several times.  I'm not pleased with that.",There has always been very helpful people to help if there's a problem.
2019/06/12 12:33:04 PM MDT,"When I sent in my subscription I also gave a donation. Since, I've received several more requests for more donations.  I don't appreciate that.",There's always someone very helpful if we have a problem.
2019/06/12 1:48:08 PM MDT,it is fine as it is,"good ticket, fine performances"
2019/06/12 2:25:33 PM MDT,Nothing.  I love that my subscription is automatically handled ,"Everything.  I love the variety of music,  spectacular soloists , Cafe Rouge, valet parking"
2019/06/12 6:49:21 PM MDT,What would you think about food trucks every once in a while? I think that would be a lot of fun and we wouldn't have to go and figure out what to have for dinner we can enjoy each other and some interesting food.the this could even be even more interesting if we put a cultural spin on it and focus on trucks for the particular culture or ethnicity of the music.,"I enjoy the diversity of the music. I learned so much about history and culture through the music of the time, and the Pacific Symphony does a great job of sharing not only the music but the background and the history."
2019/06/12 7:01:30 PM MDT,Some of the cover bands are iffy. Many times I enjoy the symphony much more the the other entertainment.,Really enjoy all the conductors. Some of the depth of the performers has been outstanding.
2019/06/12 8:25:51 PM MDT,None ,Discount and ability to exchange.
2019/06/12 9:31:45 PM MDT,Make the intermissions a little longer.  More symphony and less guest stars.,Same seats every year and high level of music.
2019/06/13 10:09:02 AM MDT,"If you cannot attend a concert, allow tickets to be returned and the balance to carryover not have to be used up that season-schedules and other commitments don't allow for that. Segerstrom Center allows that for their shows and it has been much appreciated. Particularly given the new tax deductions sometimes it doesn't pay to donate a ticket if you can't claim it on your taxes.",I know I have the seats I want for each performance
2019/06/13 6:24:35 PM MDT,Was not pleased with the seats this year.  Couldn't see the stage or screens.,The shows are excellent.  Have seldom seen a mediocre one.
2019/06/13 8:22:31 PM MDT,"Pretty cool when it's hard to think of a way to make this better! 
Cheaper parking?
What abourt links to streamable files of the music pieces to be performed, e.g.,  Spotify, Amazon Prime Music, etc.? Although I suppose if one has one of those services, it is easy enough to look up the piece to play it. ","It's always a lovely evening and I often learn something, hear something new."
