Timestamp,2. What improvements could we implement to make your Pacific Symphony Subscriber experience better?,3. What did you enjoy most about being a Pacific Symphony subscriber?
2019/06/10 8:07:21 PM MDT,"No improvements necessary.  We had to move back to Indiana, to care for parents in their 90's, in Indianapolis.  Our hope is to move back home to Orange County one day, and when we do, we will be Subscribers once again!!  Please keep us on your mailing list, if possible, as if there is a trip back to see friends while we are still living here, it would be great to time it with a PSO concert.  
(susan@intoknow.com - email)  ","For the concerts we attended prior to our move, we simply loved the orchestra.  As a former employee of Opera Pacific, I feel keeping the Arts alive in Orange County is important, and PSO shows great efforts to do so.  Thank you!!  "
2019/06/10 8:28:37 PM MDT,,
2019/06/10 8:53:55 PM MDT,"You have not published the schedule of organ concerts, which will be the main part of any package I would buy. When those are published, I will buy another subscription.",World class music in a wonderful venue.
2019/06/10 9:18:11 PM MDT,Donâ€™t have an answer right now. ,The variety of music and great  performances!
2019/06/10 9:37:00 PM MDT,No suggestions. We enjoyed being subscribers for years but are moving to the Central Coast. Now,Great orchestra in Orange County! Good variety in the programming.
2019/06/10 9:37:10 PM MDT,No suggestions. We enjoyed being subscribers for years but are moving to the Central Coast. Now,Great orchestra in Orange County! Good variety in the programming.
2019/06/10 9:44:06 PM MDT,"We enjoyed the Pink Martini, Seth McFarland, season.","We enjoyed the night out for cocktails, dress up, and entertainment."
2019/06/10 9:44:54 PM MDT,We liked when you had guest conductors.,We stopped going even when we had tickets.
2019/06/11 5:50:19 AM MDT,$150 offer you made me in March,A class symphony located close to my residence
2019/06/11 7:59:26 AM MDT,The featured artist was always excellent but the rest of the program was lacking.,Listening to excellent artist play stunning classical masterpieces
2019/06/11 8:18:12 AM MDT,,
2019/06/11 8:28:13 AM MDT,Quicker drink and snack line,"Interaction with artists, conductor and radio personalities"
2019/06/11 10:02:24 AM MDT,Limit the on stage talking,Nothing more than enjoying the performance.
2019/06/11 10:58:05 AM MDT,we have been very happy with our experience for many years. This season we will broaden our experiences by purchasing single tickets and continue our support,"convenience, price, programs, location "
2019/06/11 11:29:15 AM MDT,"We were season subscribers for nearly 10 years.  We had the same seats until this past year.  When we arrived for the first symphony, six seats in front of us had been removed and arm chairs had replaced them .  They were higher than the regular seats.  We couldn't see - although my husband is 6'4""!!  We discussed this with the usher and she offered to move us to available seats explaining that it was ""temporary"".  It was not - and resulted in our seats being moved to wherever there was an available seats for each symphony for the remainder of the season.  The programming seemed repetitive and mediocre.  We continued with the Pacific Chorale series for next year but will replace the Pacific Symphony tickets with single tickets to other series.","For many years we looked forward to the variety of music we experienced, including hearing internationally famous stars and composers."
2019/06/11 2:29:19 PM MDT,,Good seats for good prices
2019/06/11 2:32:02 PM MDT,No Repeat performances,Good seats.  Good performances. 
2019/06/11 4:26:15 PM MDT,,
2019/06/11 4:37:23 PM MDT,,
2019/06/11 5:38:30 PM MDT,Canâ€™t think of any,"Value, discount for package pricing"
2019/06/11 5:44:00 PM MDT,Everything was always wonderful,"My husband and I always enjoyed  The Pops with Richard Kaufmann for many many years at Segerstrom Center and later after the Concert Hall was opened.
I had to give my seats up due to health reasons .  After my husband passed away six years ago , I still was able to bring family or friends with me but now I am not able to get around very well.   I will so miss coming as enjoyed every single concert all these many years, the symphony  music is absolutely beautiful."
2019/06/11 6:05:07 PM MDT,"None.  I love going to Pacific Symphony concerts.  I was only able to go to 3 or 4 for the entire season.  Otherwise I banked or gave away tickets, and several of those went unused.  Hoping that things will quiet down enough to make more concerts, and then will renew.  Thank you for everything.  ","Everything.  The quality of the symphony.  The diversity and quality of the programs.  The themes; especially those that had an uplifting and spiritual content.  The acoustics.  The nuances.  Carl.  The introductory lessons at 7:00 pm for the evening's program, and interviews with guest artists.  Like I said - everything.  "
2019/06/12 8:27:46 AM MDT,Broader selection of classical genre,Venue 
2019/06/12 8:20:33 PM MDT,Less stairs ,Excellent programs
2019/06/13 8:42:59 PM MDT,"New artists. Weâ€™ve seen most everyone in the new series multiple times.  Eliminate cover bands, ugh.  ",A rich symphonic sound with singers who inspire and enhance the symphony. Chris Botti is the best concert Iâ€™ve ever attended.
